"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","temp"
258,-6.6667e+01,-1.5000e+02,-2.3250e+02,3.0012e+02
259,-3.3333e+01,-1.5000e+02,-2.5000e+02,3.0000e+02
260,-3.3333e+01,-1.5000e+02,-2.3250e+02,3.0017e+02
261,0.0000e+00,-1.5000e+02,-2.5000e+02,3.0000e+02
262,0.0000e+00,-1.5000e+02,-2.3250e+02,3.0021e+02
263,3.3333e+01,-1.5000e+02,-2.5000e+02,3.0000e+02
264,3.3333e+01,-1.5000e+02,-2.3250e+02,3.0025e+02
265,6.6667e+01,-1.5000e+02,-2.5000e+02,3.0000e+02
266,6.6667e+01,-1.5000e+02,-2.3250e+02,3.0026e+02
267,1.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
268,1.0000e+02,-1.5000e+02,-2.3250e+02,3.0026e+02
269,1.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
270,1.3333e+02,-1.5000e+02,-2.3250e+02,3.0024e+02
271,1.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
272,1.6667e+02,-1.5000e+02,-2.3250e+02,3.0020e+02
273,2.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
274,2.0000e+02,-1.5000e+02,-2.3250e+02,3.0016e+02
275,2.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
276,2.3333e+02,-1.5000e+02,-2.3250e+02,3.0012e+02
277,2.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
278,2.6667e+02,-1.5000e+02,-2.3250e+02,3.0008e+02
279,3.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
280,3.0000e+02,-1.5000e+02,-2.3250e+02,3.0005e+02
281,3.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
282,3.3333e+02,-1.5000e+02,-2.3250e+02,3.0003e+02
283,3.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
284,3.6667e+02,-1.5000e+02,-2.3250e+02,3.0001e+02
285,4.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
286,4.0000e+02,-1.5000e+02,-2.3250e+02,3.0001e+02
287,4.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
288,4.3333e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
289,4.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
290,4.6667e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
291,5.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
292,5.0000e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
293,5.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
294,5.3333e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
295,5.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
296,5.6667e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
297,6.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
298,6.0000e+02,-1.5000e+02,-2.3250e+02,3.0000e+02
299,6.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
